,Conf.,Graph,Mean Rank,Mean Reciprocal Rank,Hits@1,Hits@10,Hits@100
0,1,0,4687.407,0.002998423913911192,0.0,0.005,0.048
1,1,1,4621.4955,0.0053492615060338035,0.0015,0.01,0.0585
2,1,2,4758.8345,0.005210865535646022,0.001,0.0105,0.055
3,1,3,4768.378,0.004549763502789807,0.001,0.01,0.054
4,1,4,7424.026,0.004316102686708979,0.0015,0.008,0.0445
5,2,0,3949.4415,0.007109741131185942,0.001,0.0185,0.061
6,2,1,5946.633,0.004540874393418294,0.0005,0.01,0.0485
7,2,2,3936.696,0.006869468772574651,0.002,0.017,0.0595
8,2,3,3840.189,0.006873364527497804,0.0015,0.0125,0.0545
9,2,4,5976.7955,0.005086723806749498,0.001,0.01,0.059
10,3,0,3339.604,0.027553426276766824,0.015,0.046,0.1465
11,3,1,3218.585,0.02914547774221061,0.017,0.049,0.14
12,3,2,3453.7395,0.017757658108330292,0.0075,0.035,0.131
13,3,3,4633.9695,0.006337096731618568,0.001,0.018,0.0545
14,3,4,4734.0225,0.00701524618611118,0.0015,0.015,0.068
15,4,0,3849.8745,0.0336989022655345,0.022,0.054,0.1495
16,4,1,4177.9965,0.015511973158988283,0.009,0.024,0.101
17,4,2,4043.9945,0.03204447074306994,0.021,0.052,0.1435
18,4,3,4008.084,0.02792882629016433,0.0175,0.0435,0.149
19,4,4,4135.415,0.012274733725200247,0.0035,0.028,0.1105
20,5,0,8647.1485,0.0032603591943545967,0.002,0.0045,0.0175
21,5,1,5364.9095,0.0066553387321040955,0.0025,0.0115,0.0485
22,5,2,8648.561,0.0035110065360039805,0.002,0.005,0.017
23,5,3,5232.845,0.009230502778335014,0.0045,0.016,0.0585
24,5,4,5471.9265,0.007165901781421313,0.003,0.0115,0.0545
25,6,0,10171.345,0.0011771640194276221,0.0,0.0025,0.0145
26,6,1,10384.4105,0.0022389086802569683,0.0005,0.0025,0.017
27,6,2,6150.0705,0.0044493338564377555,0.0015,0.007,0.0425
28,6,3,10365.056,0.0015472061156285538,0.0,0.003,0.0175
29,6,4,6144.1765,0.0035671223830249553,0.001,0.008,0.033
30,7,0,6509.043,0.001293170011900443,0.0,0.002,0.017
31,7,1,10327.1165,0.0012578332468196984,0.0,0.0025,0.014
32,7,2,10452.6845,0.0010397711057731627,0.0,0.0015,0.0175
33,7,3,10448.8075,0.0021199429072687862,0.0005,0.0035,0.021
34,7,4,6490.144,0.002785714856472155,0.0005,0.005,0.0245
35,8,0,6492.447,0.002313125110156084,0.001,0.0015,0.022
36,8,1,10296.419,0.0012603754217679183,0.0,0.0015,0.0175
37,8,2,6518.1805,0.0018117545174120085,0.0,0.0035,0.0235
38,8,3,6920.3385,0.0013269088125734752,0.0,0.0015,0.0155
39,8,4,10803.078,0.0012452289070061947,0.0,0.001,0.023
